food,keywords,unit_g,serving_g,cup_g,energy_kcal,protein_g,carbs_g,fiber_g,fat_g,omega3_g,omega6_g,vit_a_ug,vit_c_mg,vit_d_ug,vit_e_mg,vit_k_ug,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_mg,vit_b6_mg,biotin_ug,folate_ug,vit_b12_ug,choline_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_ug,iodine_ug
Egg (whole),egg|omelette|omelet,50,100,243,155,12.6,1.1,0,10.6,0.07,1.2,160,0,2.2,1.0,0.3,0.07,0.51,0.06,1.4,0.12,20,44,1.1,294,50,1.2,10,172,126,124,1.0,0.01,0.03,31,50
Whole wheat bread,whole wheat toast|whole wheat bread|wholewheat bread|brown bread|whole grain bread|multigrain bread,32,64,60,250,13,43,6,3.5,0.1,1.3,0,0,0,0.4,2,0.4,0.2,4.5,0.6,0.2,3,50,0,27,160,2.5,75,210,250,450,1.8,0.3,2.0,25,5
White bread,white bread|bread|toast|bun|pav,28,56,60,265,9,49,2.7,3.2,0.05,1.2,0,0,0,0.2,0.2,0.5,0.3,4.8,0.4,0.1,1,110,0,14,150,3.6,23,100,115,490,0.7,0.1,0.5,17,5
Banana,banana,118,118,150,89,1.1,23,2.6,0.3,0.03,0.05,3,8.7,0,0.1,0.5,0.03,0.07,0.67,0.33,0.37,2.6,20,0,9.8,5,0.26,27,22,358,1,0.15,0.08,0.27,1,1
Milk (whole),milk,244,244,244,61,3.2,4.8,0,3.3,0.02,0.1,46,0,1.3,0.07,0.3,0.04,0.17,0.09,0.37,0.04,2,5,0.45,14,113,0.03,10,84,132,43,0.37,0.01,0,3.7,40
White rice (cooked),white rice|rice|chawal|basmati|jeera rice|fried rice,158,158,158,130,2.7,28,0.4,0.3,0.01,0.07,0,0,0,0.04,0,0.16,0.01,1.5,0.4,0.09,0.5,58,0,2.1,10,1.2,12,43,35,1,0.5,0.07,0.47,7.5,1
Brown rice (cooked),brown rice,195,195,195,123,2.7,26,1.6,1.0,0.01,0.35,0,0,0,0.1,0.2,0.18,0.07,2.6,0.4,0.12,1,9,0,9,3,0.56,39,103,86,4,0.7,0.11,1.0,5.8,1
Chicken breast (cooked),chicken|grilled chicken|chicken breast|chicken curry,120,120,140,165,31,0,0,3.6,0.03,0.6,6,0,0.1,0.27,0.3,0.07,0.11,13.7,0.97,0.6,2,4,0.34,85,15,1.0,29,228,256,74,1.0,0.05,0.02,27.6,7
Salmon (cooked),salmon,150,150,150,206,22,0,0,12,2.3,0.9,50,0,11,1.1,0.1,0.34,0.14,8.0,1.5,0.64,5,25,3.0,90,15,0.34,30,252,384,61,0.4,0.05,0.02,41,20
Tuna (canned in water),tuna|fish,140,100,140,116,26,0,0,0.8,0.27,0.03,17,0,1.7,0.33,0.1,0.03,0.07,13,0.2,0.35,1,4,2.5,29,11,1.5,27,217,237,338,0.8,0.05,0.01,80,17
Lentils (cooked),lentil,198,198,198,116,9,20,7.9,0.4,0.04,0.14,0,1.5,0,0.1,1.7,0.17,0.07,1.06,0.64,0.18,1,181,0,32.7,19,3.3,36,180,369,2,1.3,0.25,0.49,2.8,1
Dal (lentil curry),dal|daal|dhal|sambar,200,200,200,130,7,17,5,3.5,0.05,1.5,20,3,0,0.6,5,0.15,0.06,1,0.5,0.15,1,150,0,28,25,2.5,35,140,320,300,1,0.2,0.45,2.5,3
Chickpeas (cooked),chickpea|chana|chole,164,164,164,164,8.9,27,7.6,2.6,0.04,1.1,1,1.3,0,0.35,4,0.12,0.06,0.53,0.29,0.14,1,172,0,42.8,49,2.9,48,168,291,7,1.5,0.35,1.0,3.7,1
Spinach (raw),spinach|palak,30,30,30,23,2.9,3.6,2.2,0.4,0.14,0.03,469,28,0,2.0,483,0.08,0.19,0.72,0.07,0.2,0.5,194,0,19,99,2.7,79,49,558,79,0.53,0.13,0.9,1,2
Broccoli (cooked),broccoli,90,90,156,35,2.4,7.2,3.3,0.4,0.12,0.05,77,65,0,1.45,141,0.06,0.12,0.55,0.62,0.2,1,108,0,40,40,0.67,21,67,293,41,0.45,0.06,0.19,1.6,1
Mixed salad / vegetables,salad|vegetables|veggies|sabzi|mixed veg,150,150,150,30,1.5,6,2.2,0.2,0.05,0.1,250,20,0,0.6,60,0.05,0.06,0.6,0.2,0.12,1,40,0,10,30,0.6,15,35,250,30,0.3,0.06,0.2,0.4,1
Apple,apple,182,182,125,52,0.3,14,2.4,0.2,0.01,0.04,3,4.6,0,0.18,2.2,0.02,0.03,0.09,0.06,0.04,0.5,3,0,3.4,6,0.12,5,11,107,1,0.04,0.03,0.04,0,0
Orange,orange,131,131,180,47,0.9,12,2.4,0.1,0.01,0.02,11,53,0,0.18,0,0.09,0.04,0.28,0.25,0.06,1,30,0,8.4,40,0.1,10,14,181,0,0.07,0.05,0.03,0.5,0
Orange juice,orange juice|juice,248,248,248,45,0.7,10.4,0.2,0.2,0.01,0.04,10,50,0,0.04,0.1,0.09,0.03,0.4,0.19,0.04,1,30,0,6.2,11,0.2,11,17,200,1,0.05,0.04,0.01,0.1,0
Blueberries,blueberr|berries|berry,148,148,148,57,0.7,14.5,2.4,0.3,0.06,0.09,3,9.7,0,0.57,19.3,0.04,0.04,0.42,0.12,0.05,1,6,0,6,6,0.28,6,12,77,1,0.16,0.06,0.34,0.1,0
Oats (dry),oats|oatmeal|porridge|oat,40,40,60,379,13,68,10,6.5,0.1,2.4,0,0,0,0.4,2,0.46,0.16,1.1,1.1,0.1,20,32,0,40,52,4.3,138,410,362,6,3.6,0.4,4.9,29,1
Yogurt / curd (plain),yogurt|yoghurt|curd|dahi,150,150,245,61,3.5,4.7,0,3.3,0.03,0.07,27,0.5,0.1,0.06,0.2,0.03,0.14,0.08,0.39,0.03,1,7,0.37,15,121,0.05,12,95,155,46,0.59,0.01,0.004,2.2,30
Greek yogurt (plain),greek yogurt|greek yoghurt,170,170,245,73,10,3.9,0,1.9,0.01,0.04,24,0,0.1,0.01,0.2,0.02,0.28,0.2,0.33,0.06,1,7,0.75,15,110,0.07,11,135,141,34,0.52,0.02,0.01,9.7,30
Almonds,almond,1.2,28,140,579,21,22,12.5,50,0.003,12.3,0,0,0,25.6,0,0.2,1.1,3.6,0.47,0.14,57,44,0,52,269,3.7,270,481,733,1,3.1,1.0,2.2,4.1,1
Peanuts,peanut|groundnut,1,28,146,567,26,16,8.5,49,0.003,15.6,0,0,0,8.3,0,0.64,0.14,12,1.8,0.35,88,240,0,53,92,4.6,168,376,705,18,3.3,1.1,1.9,7.2,1
Peanut butter,peanut butter,16,32,256,588,25,20,6,50,0.03,12,0,0,0,9,0.3,0.15,0.1,13,1.1,0.44,90,87,0,63,43,1.9,168,335,558,350,2.5,0.45,1.5,4.1,1
Cheddar cheese,cheese|cheddar,28,28,113,403,25,1.3,0,33,0.2,0.6,265,0,0.6,0.7,2.8,0.03,0.43,0.06,0.41,0.07,3,18,1.1,16.5,721,0.68,28,512,98,621,3.1,0.03,0.01,14,30
Paneer,paneer,30,100,100,321,21,3.6,0,25,0.2,0.5,200,0,0.3,0.4,2,0.02,0.2,0.1,0.3,0.05,2,10,0.8,15,480,0.2,20,300,100,20,2.7,0.03,0.01,10,20
