key,reference_dv,adult_female,adult_male
energy_kcal,2000,2000,2500
protein_g,50,46,56
carbs_g,275,250,310
fiber_g,28,25,38
fat_g,78,70,85
omega3_g,1.6,1.1,1.6
omega6_g,17,12,17
vit_a_ug,900,700,900
vit_c_mg,90,75,90
vit_d_ug,20,15,15
vit_e_mg,15,15,15
vit_k_ug,120,90,120
thiamin_mg,1.2,1.1,1.2
riboflavin_mg,1.3,1.1,1.3
niacin_mg,16,14,16
pantothenic_mg,5,5,5
vit_b6_mg,1.7,1.3,1.3
biotin_ug,30,30,30
folate_ug,400,400,400
vit_b12_ug,2.4,2.4,2.4
choline_mg,550,425,550
calcium_mg,1300,1000,1000
iron_mg,18,18,8
magnesium_mg,420,320,420
phosphorus_mg,1250,700,700
potassium_mg,4700,2600,3400
sodium_mg,1500,1500,1500
zinc_mg,11,8,11
copper_mg,0.9,0.9,0.9
manganese_mg,2.3,1.8,2.3
selenium_ug,55,55,55
iodine_ug,150,150,150
